,src,to,weights,weight_rank
449,resp244,resp4049,0.48,2.0
450,resp2440,resp4800,0.3927272727272727,1.0
451,resp2443,resp6119,0.27,1.0
452,resp2447,resp3356,0.4,3.0
453,resp245,resp2039,0.26181818181818184,5.0
454,resp2450,resp1908,0.27,4.0
455,resp2454,resp5130,0.06,1.0
456,resp246,resp1908,0.09,6.0
457,resp2462,resp2950,0.06461538461538463,16.0
458,resp2468,resp4169,0.04,13.0
459,resp2469,resp2562,0.18,6.0
460,resp2469,resp4809,0.06,6.0
461,resp2475,resp689,0.065,4.0
462,resp2480,resp1723,0.37894736842105264,1.0
463,resp2481,resp1259,0.195,1.0
464,resp2483,resp399,0.4235294117647059,2.0
465,resp2490,resp2072,0.24,5.0
466,resp2492,resp5731,0.4,3.0
467,resp2494,resp5298,0.32,6.0
468,resp2498,resp2903,0.54,2.0
469,resp2500,resp4881,0.32,2.0
470,resp2501,resp5941,0.5,2.0
471,resp2502,resp5727,0.18,6.0
472,resp2507,resp5822,0.4266666666666665,3.0
473,resp2509,resp206,0.4,2.0
474,resp2510,resp3414,0.5236363636363636,2.0
475,resp2513,resp5944,0.18,6.0
476,resp2514,resp4704,0.28,2.0
477,resp2522,resp3608,0.18,8.0
478,resp2530,resp2039,0.075,9.0
479,resp2533,resp1224,0.27,2.0
480,resp2535,resp2378,0.312,6.0
481,resp254,resp4230,0.07058823529411766,7.0
482,resp2541,resp4169,0.18,3.0
483,resp2543,resp2339,0.48,2.0
484,resp2543,resp3365,0.06,2.0
485,resp2543,resp96,0.48,1.0
486,resp2552,resp4326,0.13714285714285715,5.0
487,resp2552,resp5788,0.4571428571428571,3.0
488,resp2555,resp1376,0.07,9.0
489,resp2559,resp3448,0.04,20.0
490,resp2559,resp6113,0.48,2.0
491,resp2563,resp5523,0.45,3.0
492,resp2566,resp2378,0.5142857142857142,4.0
493,resp2578,resp4214,0.162,10.0
494,resp2580,resp5913,0.384,5.0
495,resp2581,resp5484,0.35000000000000003,6.0
496,resp2582,resp4812,0.16363636363636366,9.0
497,resp2585,resp1075,0.18,1.0
498,resp2592,resp232,0.056,15.0
499,resp2593,resp2378,0.12,9.0
500,resp2595,resp6103,0.4,1.0
501,resp2597,resp2595,0.3054545454545454,1.0
502,resp2597,resp3366,0.11454545454545452,1.0
503,resp2599,resp4045,0.12,1.0
504,resp2608,resp2017,0.06352941176470588,5.0
505,resp2611,resp5730,0.5142857142857142,1.0
506,resp2613,resp2128,0.12,9.0
507,resp2630,resp5657,0.15,4.0
508,resp2633,resp3031,0.1,1.0
509,resp2637,resp5787,0.3333333333333333,3.0
510,resp2639,resp2562,0.06,12.0
511,resp2644,resp5481,0.5,4.0
512,resp2646,resp5913,0.12,10.0
513,resp2647,resp5535,0.14727272727272725,5.0
514,resp2649,resp3989,0.07428571428571427,5.0
515,resp265,resp3921,0.48,2.0
516,resp2653,resp4657,0.07384615384615384,5.0
517,resp2655,resp426,0.4235294117647059,2.0
518,resp2655,resp5200,0.03529411764705883,4.0
519,resp2661,resp1814,0.19384615384615386,2.0
520,resp2673,resp1476,0.12,2.0
521,resp2681,resp1841,0.052173913043478265,6.0
522,resp2681,resp3194,0.5217391304347827,3.0
523,resp2681,resp3752,0.4173913043478261,4.0
524,resp2688,resp2950,0.225,7.0
525,resp2695,resp5200,0.2025,3.0
526,resp2699,resp1559,0.045,16.0
527,resp2708,resp2903,0.14400000000000002,9.0
528,resp2714,resp848,0.33,1.0
529,resp2715,resp4571,0.12,12.0
530,resp2717,resp5123,0.5236363636363637,1.0
531,resp2718,resp2072,0.66,2.0
532,resp272,resp2322,0.5142857142857142,1.0
533,resp2721,resp3834,0.36,2.0
534,resp2734,resp169,0.54,3.0
535,resp2735,resp232,0.135,11.0
536,resp2736,resp3448,0.45,4.0
537,resp2741,resp4774,0.3054545454545454,7.0
538,resp2741,resp5731,0.03818181818181818,12.0
539,resp2742,resp2480,0.5142857142857142,1.0
540,resp2744,resp4214,0.3085714285714285,6.0
541,resp275,resp399,0.4114285714285714,3.0
542,resp2755,resp3448,0.21,13.0
543,resp2757,resp5588,0.16363636363636366,1.0
544,resp2780,resp346,0.18,7.0
545,resp2792,resp232,0.672,1.0
546,resp2792,resp4823,0.056,6.0
547,resp2795,resp2834,0.12,9.0
548,resp2797,resp5486,0.4114285714285714,2.0
549,resp2798,resp5584,0.5142857142857142,4.0
550,resp28,resp4298,0.18,4.0
551,resp2802,resp4417,0.48,2.0
552,resp2805,resp4643,0.1714285714285714,7.0
553,resp2808,resp4166,0.19285714285714284,5.0
554,resp281,resp410,0.18,7.0
555,resp2813,resp597,0.09,5.0
556,resp2814,resp4269,0.03428571428571429,4.0
557,resp2817,resp5584,0.06857142857142857,8.0
558,resp2824,resp1545,0.21,2.0
559,resp2828,resp2983,0.225,3.0
560,resp283,resp4571,0.12,12.0
561,resp2830,resp4326,0.18,3.0
562,resp2833,resp5787,0.4547368421052632,1.0
563,resp2838,resp91,0.4266666666666665,1.0
564,resp2839,resp142,0.12,1.0
565,resp2840,resp3488,0.43200000000000005,1.0
566,resp2848,resp5941,0.5008695652173912,1.0
567,resp2854,resp6078,0.24,2.0
568,resp2855,resp3448,0.3428571428571429,9.0
569,resp2864,resp1790,0.42,1.0
570,resp2864,resp3415,0.18899999999999997,1.0
571,resp2865,resp1376,0.056,12.0
572,resp2875,resp2302,0.43200000000000005,2.0
573,resp288,resp4935,0.768,1.0
574,resp2885,resp2816,0.6776470588235295,1.0
575,resp2887,resp4494,0.162,1.0
576,resp2888,resp2039,0.48,3.0
577,resp289,resp1358,0.06,3.0
578,resp2890,resp1723,0.2742857142857143,3.0
579,resp2891,resp689,0.324,3.0
580,resp2892,resp6113,0.36,4.0
581,resp2893,resp1559,0.18,9.0
582,resp2896,resp1153,0.12,2.0
583,resp29,resp2128,0.3150000000000001,5.0
584,resp2900,resp5944,0.36,3.0
585,resp2905,resp2543,0.3388235294117647,4.0
586,resp2906,resp4308,0.4,4.0
587,resp2909,resp3545,0.2571428571428571,11.0
588,resp2913,resp5788,0.35100000000000003,5.0
589,resp2917,resp742,0.3652173913043479,2.0
590,resp2919,resp488,0.1963636363636364,8.0
591,resp292,resp4169,0.04,13.0
592,resp2927,resp2562,0.09,9.0
593,resp293,resp4230,0.21,5.0
594,resp2939,resp346,0.036000000000000004,9.0
595,resp2940,resp2378,0.55,3.0
596,resp2947,resp1545,0.06,4.0
597,resp2947,resp2983,0.6,1.0
598,resp2952,resp5884,0.24,5.0
599,resp2958,resp206,0.18,3.0
600,resp2962,resp2890,0.12,5.0
601,resp2963,resp132,0.7854545454545454,1.0
602,resp2964,resp4812,0.4235294117647059,4.0
603,resp2970,resp3159,0.27,4.0
604,resp2971,resp2963,0.12,1.0
605,resp2973,resp4801,0.051428571428571435,5.0
606,resp2977,resp4081,0.12,1.0
607,resp2979,resp3752,0.4,5.0
608,resp2980,resp2885,0.45,4.0
609,resp2983,resp1545,0.27,1.0
610,resp2987,resp4771,0.35000000000000003,2.0
611,resp2988,resp1385,0.4,3.0
612,resp2988,resp1908,0.04,10.0
613,resp2989,resp4774,0.5,2.0
614,resp2999,resp5970,0.048,9.0
615,resp3000,resp4771,0.21,4.0
616,resp3003,resp5298,0.3428571428571429,5.0
617,resp3004,resp4008,0.3,1.0
