,index,src,to,to_hierarchy,src_hierarchy,clocent,weights,clo_rank,weight_rank,optimal
198,259,resp1606,resp3458,TM,TM,0.8318757588239447,0.3927272727272727,3.0,3.0,True
199,261,resp1607,resp2954,TL,E,0.8092472268772626,0.45,4.0,6.0,False
200,262,resp1612,resp3193,TL,E,0.7746709724260963,0.12,2.0,3.0,False
201,263,resp1616,resp2584,TL,E,0.7591488747370402,0.5538461538461539,1.0,2.0,False
202,265,resp162,resp1944,MM,TL,0.800322126547272,0.27,5.0,2.0,False
203,266,resp1620,resp4452,TL,E,0.7442164636168995,0.06666666666666668,5.0,6.0,False
204,267,resp1621,resp2373,TL,E,0.7071370388164144,0.08,18.0,17.0,False
205,268,resp1626,resp608,TL,E,0.6548985947912838,0.192,7.0,3.0,False
206,269,resp1628,resp2950,TL,E,0.8396737950837941,0.4547368421052631,5.0,2.0,False
207,270,resp163,resp2659,TL,E,0.7055225887761828,0.4114285714285714,7.0,3.0,False
208,272,resp1637,resp4261,TL,E,0.7458510804506097,0.48,2.0,1.0,False
209,273,resp1638,resp6113,TL,E,0.8981368450473922,0.095,1.0,6.0,False
210,274,resp1639,resp2834,TL,E,0.7429684008351463,0.27,12.0,5.0,False
211,276,resp1641,resp573,TL,E,0.8467437278591783,0.27,4.0,7.0,False
212,277,resp1644,resp1214,MM,TL,0.7831499607102302,0.36,1.0,2.0,False
213,278,resp1645,resp3259,TL,E,0.6940082136220739,0.12,8.0,9.0,False
214,279,resp1645,resp5285,TL,E,0.6940082136220739,0.48,2.0,1.0,False
215,280,resp165,resp5481,TL,E,0.844780036468039,0.72,2.0,1.0,False
216,281,resp1651,resp3259,TL,E,0.735996400306476,0.6857142857142857,4.0,1.0,False
217,282,resp1652,resp5810,TL,E,0.8100070083325508,0.5538461538461539,1.0,1.0,True
218,283,resp1652,resp5822,TL,E,0.8100070083325508,0.4430769230769231,4.0,2.0,False
219,285,resp1661,resp1371,MM,TL,0.6918198635906716,0.48,4.0,1.0,False
220,286,resp1662,resp1561,TL,E,0.8334635266633339,0.3692307692307693,1.0,1.0,True
221,288,resp1663,resp573,TL,E,0.8379568463156032,0.1408695652173913,5.0,8.0,False
222,289,resp1663,resp756,TL,E,0.8379568463156032,0.4695652173913044,1.0,1.0,True
223,291,resp1669,resp4759,TL,E,0.8099269641595847,0.6646153846153847,2.0,1.0,False
224,292,resp167,resp1559,TL,E,0.7224695591531505,0.42,12.0,4.0,False
225,293,resp1675,resp195,TL,E,0.7867206674806023,0.06,2.0,5.0,False
226,294,resp1676,resp410,TL,E,0.7349015447326721,0.04235294117647058,5.0,9.0,False
227,295,resp168,resp1559,TL,E,0.6954600526969112,0.3692307692307693,16.0,5.0,False
228,297,resp1685,resp5,TL,E,0.792731977349155,0.3085714285714285,5.0,4.0,False
229,298,resp1686,resp3834,TL,E,0.7804268253100577,0.6461538461538461,1.0,1.0,True
230,299,resp1687,resp534,MM,TL,0.7851756395854688,0.4571428571428571,2.0,1.0,False
231,304,resp17,resp4935,TL,E,0.8680505322639056,0.06315789473684211,3.0,21.0,False
232,305,resp1701,resp1210,TM,TM,0.9098641112136895,0.255,1.0,1.0,True
233,307,resp1704,resp6257,TL,E,0.8706704109855968,0.48,1.0,1.0,True
